label,comment
1,Trước đây chỉ biết Iphone và Sam Cứ ngỡ mấy dòng rẻ là ko nhiều tính năng Nhưng chiếc đth này đã làm mình thay đổi hoàn toàn cách suy nghĩ đó Dùng cực mượt  bộ nhớ cực nhiều Máy đẹp  như iphone x ý haha Chơi game nặng cũng okie Pin ổn Điểm ko ưng duy nhất chỉ là mình vẫn thích cam của Iphone-chân thực hơn; cơ mà giá này mà thế là quá ưng rồi ạ  
1,mình mua đợt giảm giá 4trieu5 áp mã giảm giá còn 4tr350 (giờ vô xem lại thấy tiki giảm tiếp còn 4tr2 hiu hiu)  dt màn hình to đẹp  chụp hình ổn trong tầm giá  theo mình đánh giá mọi thứ đều ok trừ pin  nhanh tụt pin so với các dòng dt khác Dt hàng chính hãng còn nguyên seal nên rất yên tâm khi mua  
0,lần thứ 2 tôi mua 1 sản phẩm công nghệ trên tiki lại là 1 sản phẩm chất lượng kém như thế này   điện thoại màn hình bị lỏng và hở sáng  thật kinh khủng cho 1 sp như thế này  tôi cần được đổi mới hoặc hoàn trả đơn hàng này
1,Rất đẹp MN ơi Nên mình mua thêm cái nữa
1,Balo xinh dáng đẹp  cứng cáp lắm ạ Màu cũng ưng ý mình nữa Nói chung ở giá tiền này thì đáng mua  
1,Chất lượng  giá thành rẻ đang có km thích hợp mua sử dụng lâu dài
1,Sp rất chất lượng  thiết kế đẹp
1,Chất lượng sản phẩm tuyệt vời  shop phục vụ rất tốt  giao hàng nhanh
0,"Vừa nhận sản phẩm  chất lượng chưa biết sao nhưng thấy không ổn: 1 Bao bì bị rách; 2 Số seri trên hộp  chuột  Bộ thu (receiver) không giống nhau; 3 chuột bị trầy xước; 4 cảm giác không phải hàng mới 5 Cái logo ""logitech"" trên bộ thu(receiver) không giống bản trên trang chủ ps dù chất lượng thế nào nhưng thấy ban đầu là bực mình  chán  "
1,Vận hành rất tốt  nhanh  nhạy Kiểu dáng thiết kế phù hợp để sử dụng Nhỏ gọn vừa tay  đẹp Chỉ không hiểu: Cũng trên trang Tiki  một số nhà cung cấp khác có giá chênh lệch hơn 100k  khi chọn màu xanh này  thậm chí phải bắt mua một lúc 3 cái Nhưng sau đó tôi chọn Trading Tiki đã được kết quả như ý
1,K tệ
1,Hàng chất lượng tốt Dày dặn rất đáng tiền
0,Giao hàng muộn
1,Phím bấm hơi lỏng lẻo   lực bấm 2 phím ko bằng nhau nhưng con chuột này là ngon nhất trong tầm giá này rồi
0,Mới lấy test dc 1 tiếng rồi chuột bị hư :( bật lên  lên đèn dc 1 giây xoq rồi ko lên đèn nx :( mong shop kiểm tra các sản phẩm trc bán cho khách
0,Gửi chuột cho khách hàng nhưng ko dùng được
0,Chuột k sử dụng được  đã hoàn trả lại hàng nhưng không được hoàn tiền hay đổi chuột khác
0,Mua 2 cái   mỗi cái dùng được 1 tuần là hỏng
0,Chuột k hoạt động  nhấn gửi trả hàng nhưng vì nghĩ có mấy chục mất công nên thôi  
0,Chuột dùng đc vài ngày có cảm giác ko nhạy  rất khó dùng  dùng quá chán luôn  
0,Tôi đánh giá 1* ko phải để hạ uy tín các a  tôi chỉ muốn các a nên cải thiện chất lượng dịch vụ:
0,Góp ý vs shop nhé gửi hàng kiểm tra kỹ chút chuột sử dụng rồi lò xo bên trong bị han rỉ chả nghẽ lại ko lấy
0,Đặt cả bàn di chuyển chuột mà k đc giao trong khi vẫn bằng ý tiền  shop nên làm ăn có tâm chút
0,Thực sự thất vọng không bắt dc Và không di dc chuột  Nói chung không sử dụng dc
0,Rõ ràng quảng cáo sp có kèm hình ảnh pin Nhưng khi giao hàng lại ko có Pin   mất công đi mua pin nữa
0,Dùng tạm đc
0,Hàng dùng 1 ngày đã hư Tiền nào của nấy
0,mua về  còn chưa dùng  thì đã bị hỏng  ko dùng đc  nhắn tin cho shop thì ko có phản hồi
0,Chuột lúc nhận lúc không
0,Bán hàng kém chất lượng về không sài dc
0,Giao hàng lâu Đóng gói không cẩn thận  móp méo Không đánh được trứng Chạy e e tí là ngừng  chán
0,Máy như đồ chơi Chạy yếu nên khi cho vào đánh chả đánh đc gì cả
0, Giao hàng lâu
0,"Hơi bị khó xài nếu muốn móc đứng dọc thì phải mở ra chỉnh 
Rất bất tiện"
0,Bị yếu hay bị nghiêng 1 bên
0,Note rõ giao xám hoặc hồng  cuối cùng giao nguyên 10 cái xanh nhạt Sp chưa sử dụng chưa biết chắc chắn thế nào nhưng trừ điểm dịch vụ
0,Nếu để ngang mà k cân nó sẽ tự động chạy dọc  chỉnh hết cách không được
0,Mình thấy không thích nhưng giá rẻ nên chẳng muốn gửi lại
0,Mình order màu xám lại ship màu hồng  hông vui shop ơi
1,sp ok mỗi tội giao hàng lâu
0,Tai trái âm vừa bé vừa rè tai phải bt
0,Tai nghe dây mỏng dính Chỗ jack cắm ms cắm vào rút ra thì bung luôn
0,Nhiều lúc nghe mất 1 bên tai  nói chuyện hoie rè
0,:(( mọi thứ của tai nghe đều ổn nghe vô cùng êm tai nhưng mà voice lại không nói được khi gọi điện dùng tai nghe thì bên kia koong nghe thấy hơi thất vọng
0,Một bên tai nghe tiếng bị nhỏ
0,Sạc lúc được lúc k
0,Cap sạc không sử dụng được  củ sạc của mình vẫn dùng bình thường nhưng khi cắm cáp này vào chỉ được 1 tị là báo phụ kiện ko đc hỗ trợ Mà k chỉ máy mình bị mà cả 4 máy ở cty mình đều bị
0,Dùng chưa đến 1 tháng thì hỏng
1,Sản phẩm giao hàng nhanh lắm ạ  Chất lượng thì rẻ và rất tốt chứ Cảm ơn shop nhiều lắm ạ Tuy nhiên  có dây sạc thì mình k sạc đx   
1,Vẫn tiếp tục mua nhà này  cơ mà cái tội ngu mua sai dòng máy nên giờ phải chịu hơi buồn hxhx ốp thì vẫn cứ gọi là đẹp và rẻ
1,Mua shop lần 2 rồi  rất ưng ý nhé  sẽ ủng hộ shop tiếp nha 
1,Đã nhận đk hàng  sạc dùng oke  ốp đẹp ưng lắm ạ tiện soi gương đk luôn mà giá kn rẻ nữa rất đáng tiền shop đóng gói sản phẩm đẹp và chắc chắn  thời gian giao hàng cũng nhanh nữa  ns chung là ưng cho shop 5 sao ạ
1,Mua ở đây được mấy lần rồi  lần nào củng rất ưng ý giá cả rất là rẻ luôn
1,Cáp xịn xò nhé chưa thấy shop nào gói hàng có tâm như shop này cacs bạn nên mua hàng ở đây
1,chả hiểu shop làm ăn kiểu gì mà mua 10 lần thì ưng cả 10 lần   sẽ ủng hộ shop dài nha
1,Hàng rất đẹp nha nhưng giao hàng hơi lâu ạ chắc là do dịchhhhhh
1,Chất lượng tốt giao hàng nhanhhhh đóng gói chắc chắn
1,Dây sạc rẻ nhưng dùng khá bền   sẽ luôn ủng hộ shop ạ  mfnh rất ưng
1,Đã nhận hàng nhưng hơi lâu 1 xíu   shop giao đủ hàng Chất lượng ok  sẽ ủng hộ lần sau
